"Date","Department","Category","Region","Budget Amount","Actual Amount","Payment Method","Transaction ID"
"2022-10-24","Sales","Travel","North","89948","163703","Card","TXN104704"
"2022-06-12","IT","Utilities","South","132081","117687","UPI","TXN104705"
"2022-06-24","IT","Utilities","Central","31420","53105","Bank Transfer","TXN104706"
"2022-02-23","Finance","Utilities","Central","87899","85164","UPI","TXN104707"
"2022-03-20","Marketing","Utilities","West","16874","39092","UPI","TXN104708"
"2022-11-16","Finance","Salaries","South","74959","83687","Bank Transfer","TXN104709"
"2023-04-20","Marketing","Training","East","106617","169129","Bank Transfer","TXN104710"
"2021-08-24","HR","Salaries","West","62343","116625","Cash","TXN104711"
"2021-08-02","Marketing","Travel","East","29503","46959","UPI","TXN104712"
"2021-03-26","Operations","Marketing","North","25271","13765","Bank Transfer","TXN104713"
"2023-03-05","Sales","Utilities","Central","141448","163885","Card","TXN104714"
"2021-03-26","Marketing","Training","West","105616","65732","Cash","TXN104715"
"2021-03-06","Marketing","Marketing","East","118819","167054","Card","TXN104716"
"2022-10-25","Marketing","Salaries","South","135695","93903","Card","TXN104717"
"2022-09-19","Sales","Utilities","North","28325","73391","Bank Transfer","TXN104718"
"2021-03-05","IT","Salaries","North","141276","89552","Cash","TXN104719"
"2023-07-28","Sales","Salaries","Central","148126","57338","Cash","TXN104720"
"2023-07-08","IT","Infrastructure","Central","65100","56247","Bank Transfer","TXN104721"
"2022-05-06","Operations","Training","East","28809","166391","UPI","TXN104722"
"2021-11-09","Sales","Salaries","East","74115","76964","Cash","TXN104723"
"2022-09-07","IT","Travel","North","62569","166058","Card","TXN104724"
"2023-07-08","Operations","Salaries","East","144137","114062","UPI","TXN104725"
"2023-03-24","Operations","Utilities","Central","44495","166882","Cash","TXN104726"
"2023-07-29","IT","Travel","North","15976","169799","Card","TXN104727"
"2022-11-11","IT","Salaries","North","106690","109692","Cash","TXN104728"
"2022-03-11","HR","Travel","South","30410","104282","Cash","TXN104729"
"2022-11-13","Operations","Salaries","South","132550","158390","Bank Transfer","TXN104730"
"2023-12-10","IT","Training","East","135812","70422","Bank Transfer","TXN104731"
"2021-12-06","Operations","Travel","East","91273","159827","UPI","TXN104732"
"2021-12-13","Sales","Marketing","Central","48832","86648","Cash","TXN104733"
"2022-10-08","Finance","Infrastructure","Central","46582","56069","UPI","TXN104734"
"2022-10-11","Finance","Travel","South","70430","56599","Card","TXN104735"
"2021-09-02","Marketing","Utilities","North","136144","14859","Bank Transfer","TXN104736"
"2021-04-19","IT","Infrastructure","West","23544","36570","Bank Transfer","TXN104737"
"2022-06-17","IT","Infrastructure","West","129229","37148","UPI","TXN104738"
"2021-10-23","Operations","Salaries","East","59843","141823","UPI","TXN104739"
"2021-04-22","Marketing","Travel","West","87827","145575","Bank Transfer","TXN104740"
"2021-12-09","IT","Training","West","109137","161116","UPI","TXN104741"
"2021-04-11","Operations","Infrastructure","South","123903","79779","Cash","TXN104742"
"2022-09-21","IT","Utilities","North","81330","113104","Card","TXN104743"
"2021-01-28","Operations","Training","Central","19353","109310","UPI","TXN104744"
"2023-07-26","IT","Training","South","56403","104116","Card","TXN104745"
"2021-02-27","HR","Utilities","Central","32244","30224","Cash","TXN104746"
"2021-10-24","Operations","Utilities","South","93946","80681","Card","TXN104747"
"2021-05-14","HR","Salaries","South","85365","125211","Bank Transfer","TXN104748"
"2021-09-06","HR","Marketing","West","135120","133669","Card","TXN104749"
"2023-10-18","HR","Travel","Central","23046","61374","UPI","TXN104750"
"2022-07-04","HR","Infrastructure","South","57275","27299","UPI","TXN104751"
"2023-06-21","Sales","Travel","West","54604","152569","Bank Transfer","TXN104752"
"2023-04-14","Marketing","Training","East","43960","99884","Bank Transfer","TXN104753"
"2023-02-10","Finance","Infrastructure","Central","126816","67482","Cash","TXN104754"
"2021-05-26","Sales","Salaries","South","107014","62826","Bank Transfer","TXN104755"
"2023-06-12","IT","Travel","East","146459","96109","Card","TXN104756"
"2021-12-10","IT","Salaries","West","62603","136865","Card","TXN104757"
"2023-11-25","Marketing","Salaries","South","71185","138754","Card","TXN104758"
"2022-12-03","Finance","Travel","West","122712","133276","Card","TXN104759"
"2021-01-01","Finance","Travel","West","43099","87458","Card","TXN104760"
"2021-06-02","Finance","Infrastructure","West","117707","72490","Bank Transfer","TXN104761"
"2022-03-05","HR","Training","Central","60200","84543","Cash","TXN104762"
"2022-05-23","Sales","Training","East","143347","8872","Cash","TXN104763"
"2022-05-06","IT","Utilities","East","48005","89330","UPI","TXN104764"
"2021-12-11","Sales","Salaries","North","121723","162953","Card","TXN104765"
"2021-08-09","Sales","Training","South","16385","30388","Bank Transfer","TXN104766"
"2022-12-24","Sales","Marketing","West","108806","63589","UPI","TXN104767"
"2023-11-15","Finance","Infrastructure","South","13569","130021","Cash","TXN104768"
"2022-06-12","Marketing","Infrastructure","East","117575","44800","Card","TXN104769"
"2023-04-21","Marketing","Utilities","East","115620","88223","Bank Transfer","TXN104770"
"2023-12-02","Finance","Utilities","West","35910","80702","Cash","TXN104771"
"2022-04-26","IT","Salaries","Central","63170","16885","Bank Transfer","TXN104772"
"2023-07-19","IT","Infrastructure","West","140709","97362","Card","TXN104773"
"2023-05-22","IT","Infrastructure","West","137899","21026","Bank Transfer","TXN104774"
"2021-12-11","Marketing","Marketing","North","79752","61189","Cash","TXN104775"
"2021-02-14","Marketing","Salaries","Central","41600","31585","Cash","TXN104776"
"2021-01-21","Sales","Salaries","South","26315","21006","UPI","TXN104777"
"2023-12-30","Finance","Training","Central","100134","36532","Bank Transfer","TXN104778"
"2023-05-23","HR","Utilities","West","36425","14642","UPI","TXN104779"
"2021-02-17","Sales","Training","West","132119","152628","Cash","TXN104780"
"2022-07-05","Operations","Salaries","West","85891","50237","UPI","TXN104781"
"2021-10-14","Marketing","Marketing","West","94274","45996","UPI","TXN104782"
"2023-09-29","Sales","Salaries","West","64016","148211","Bank Transfer","TXN104783"
"2023-10-31","Finance","Training","Central","110637","127268","Bank Transfer","TXN104784"
"2022-06-26","Operations","Travel","West","72821","73933","UPI","TXN104785"
"2023-01-26","Sales","Travel","East","57993","122909","Card","TXN104786"
"2021-10-01","Finance","Marketing","East","123496","55374","Card","TXN104787"
"2023-08-14","Finance","Utilities","North","114371","39117","Bank Transfer","TXN104788"
"2022-08-23","Marketing","Infrastructure","South","66565","61106","Cash","TXN104789"
"2022-01-16","HR","Salaries","East","143281","30112","Card","TXN104790"
"2022-04-24","Sales","Training","North","129736","39100","Cash","TXN104791"
"2021-01-15","Finance","Utilities","Central","10275","138423","Bank Transfer","TXN104792"
"2022-05-31","IT","Training","South","31008","25158","Cash","TXN104793"
"2021-07-10","Finance","Utilities","West","70675","106643","UPI","TXN104794"
"2022-09-13","HR","Salaries","West","68302","74832","Cash","TXN104795"
"2021-06-03","Finance","Infrastructure","Central","140292","73823","Bank Transfer","TXN104796"
"2021-09-29","Marketing","Salaries","South","110145","123580","Card","TXN104797"
"2021-05-23","Sales","Infrastructure","East","30529","126967","UPI","TXN104798"
"2023-12-29","Marketing","Training","South","25631","59005","Card","TXN104799"
"2021-09-04","Sales","Marketing","North","89082","29102","Cash","TXN104800"
"2023-02-27","Operations","Infrastructure","Central","106060","71673","Bank Transfer","TXN104801"
"2021-03-20","Sales","Utilities","East","81211","33218","Bank Transfer","TXN104802"
"2022-09-15","Operations","Marketing","South","119020","60824","Card","TXN104803"
"2022-06-09","Marketing","Training","South","59639","129679","UPI","TXN104804"
"2023-02-11","IT","Travel","East","65856","134208","Bank Transfer","TXN104805"
"2023-07-27","HR","Marketing","North","50033","26935","Bank Transfer","TXN104806"
"2022-09-09","IT","Infrastructure","North","74024","90029","Cash","TXN104807"
"2023-10-29","Operations","Marketing","South","21989","53269","UPI","TXN104808"
"2021-03-08","Finance","Training","West","116039","95613","UPI","TXN104809"
"2021-07-10","Finance","Marketing","East","48560","147831","Cash","TXN104810"
"2023-02-07","IT","Training","North","107473","111860","Card","TXN104811"
"2022-06-05","Finance","Travel","North","20128","162560","Card","TXN104812"
"2023-09-17","Operations","Infrastructure","North","34055","17549","Cash","TXN104813"
"2021-09-24","Marketing","Utilities","Central","38646","168590","Bank Transfer","TXN104814"
"2022-04-30","HR","Marketing","West","114391","65125","Bank Transfer","TXN104815"
"2022-01-11","Sales","Salaries","North","84550","111375","Cash","TXN104816"
"2022-10-15","Operations","Utilities","West","143192","116872","Cash","TXN104817"
"2022-07-03","Operations","Marketing","South","13391","95932","Cash","TXN104818"
"2021-03-14","Sales","Utilities","South","51699","49083","Cash","TXN104819"
"2021-11-04","Sales","Salaries","Central","23045","73610","Bank Transfer","TXN104820"
"2021-07-18","HR","Utilities","West","119562","141060","UPI","TXN104821"
"2022-07-26","HR","Utilities","East","68141","114652","Bank Transfer","TXN104822"
"2023-03-02","HR","Salaries","Central","16129","113591","Card","TXN104823"
"2021-06-28","Finance","Salaries","North","101698","76619","Cash","TXN104824"
"2021-07-16","Operations","Salaries","South","48284","93738","Card","TXN104825"
"2023-01-05","Marketing","Travel","South","58056","56934","Bank Transfer","TXN104826"
"2021-03-30","Sales","Training","East","110835","52939","Card","TXN104827"
"2023-03-10","Operations","Training","Central","64639","152928","Bank Transfer","TXN104828"
"2023-02-27","Operations","Salaries","West","104029","43833","Bank Transfer","TXN104829"
"2023-01-18","HR","Training","South","28663","15954","Card","TXN104830"
"2021-07-28","HR","Utilities","North","106794","56338","Card","TXN104831"
"2022-05-08","Operations","Salaries","East","17305","44936","UPI","TXN104832"
"2022-10-27","HR","Marketing","East","31940","93932","Cash","TXN104833"
"2023-11-03","Finance","Salaries","East","54146","64338","UPI","TXN104834"
"2023-05-21","Sales","Salaries","North","23657","14308","UPI","TXN104835"
"2023-01-02","Operations","Training","East","131415","160703","Bank Transfer","TXN104836"
"2022-11-29","Sales","Infrastructure","West","10699","141986","Cash","TXN104837"
"2022-08-17","Finance","Utilities","West","83101","118020","Cash","TXN104838"
"2023-06-05","HR","Training","Central","17109","50301","Bank Transfer","TXN104839"
"2023-05-02","IT","Utilities","Central","84323","93854","Card","TXN104840"
"2021-11-21","Finance","Marketing","West","60165","76237","Cash","TXN104841"
"2023-09-06","IT","Travel","North","75547","108449","Cash","TXN104842"
"2023-08-14","Sales","Infrastructure","Central","20135","63611","UPI","TXN104843"
"2023-06-13","Operations","Marketing","East","30843","81023","Bank Transfer","TXN104844"
"2021-05-24","HR","Marketing","West","10661","132159","UPI","TXN104845"
"2022-01-19","Finance","Utilities","South","129321","62825","Card","TXN104846"
"2021-08-04","HR","Infrastructure","North","19614","57556","UPI","TXN104847"
"2021-11-20","IT","Utilities","North","76115","42692","Card","TXN104848"
"2023-11-05","IT","Travel","West","123262","132737","Cash","TXN104849"
"2021-08-05","Marketing","Utilities","South","112529","97541","Bank Transfer","TXN104850"
"2023-08-09","Operations","Salaries","North","89006","123569","UPI","TXN104851"
"2021-07-02","IT","Utilities","Central","88615","70652","UPI","TXN104852"
"2021-09-27","Operations","Salaries","South","25650","79559","Cash","TXN104853"
"2023-08-03","Marketing","Marketing","East","23854","132819","Card","TXN104854"
"2023-05-20","Finance","Travel","Central","80599","89283","Cash","TXN104855"
"2022-04-12","Marketing","Training","South","99217","121806","Bank Transfer","TXN104856"
"2021-11-01","Operations","Salaries","West","54391","91165","UPI","TXN104857"
"2021-04-21","IT","Travel","North","90991","82167","Cash","TXN104858"
"2023-10-11","Sales","Utilities","Central","28238","168275","Card","TXN104859"
"2021-08-20","Operations","Training","West","28044","92868","UPI","TXN104860"
"2022-08-18","HR","Utilities","South","115852","81663","Bank Transfer","TXN104861"
"2021-06-22","Sales","Marketing","East","146051","26989","UPI","TXN104862"
"2023-08-31","Operations","Utilities","North","109022","96397","Bank Transfer","TXN104863"
"2023-10-28","HR","Salaries","North","71332","91014","Bank Transfer","TXN104864"
"2022-06-30","Marketing","Marketing","Central","26641","119557","Bank Transfer","TXN104865"
"2022-07-02","Sales","Travel","West","129593","169850","UPI","TXN104866"
"2022-06-02","Operations","Marketing","South","122691","144173","Bank Transfer","TXN104867"
"2023-07-03","Finance","Travel","South","52882","140146","UPI","TXN104868"
"2021-08-03","Marketing","Infrastructure","West","74152","24399","Cash","TXN104869"
"2021-05-14","HR","Salaries","North","50780","42295","Bank Transfer","TXN104870"
"2021-10-12","Finance","Salaries","West","68583","130930","Card","TXN104871"
"2022-11-17","IT","Travel","South","58573","106015","UPI","TXN104872"
"2021-11-27","Marketing","Utilities","West","37870","76735","Bank Transfer","TXN104873"
"2023-06-13","Marketing","Training","North","98718","84969","Card","TXN104874"
"2023-06-18","Operations","Utilities","Central","129752","71242","UPI","TXN104875"
"2021-03-19","Operations","Infrastructure","North","89601","48568","Card","TXN104876"
"2023-08-05","HR","Travel","East","141959","117532","Card","TXN104877"
"2022-11-19","Marketing","Infrastructure","East","119950","87027","Card","TXN104878"
"2021-01-21","Operations","Travel","West","76280","108296","Card","TXN104879"
"2022-07-20","IT","Infrastructure","North","99156","125641","Cash","TXN104880"
"2023-04-07","Operations","Travel","North","31547","58083","Card","TXN104881"
"2021-06-28","Marketing","Salaries","South","77240","161900","Card","TXN104882"
"2023-12-19","Sales","Infrastructure","Central","67554","20805","Card","TXN104883"
"2023-06-24","Finance","Infrastructure","North","79600","92058","Cash","TXN104884"
"2022-10-31","Marketing","Travel","West","61108","143361","UPI","TXN104885"
"2021-07-10","IT","Marketing","South","20718","60552","Bank Transfer","TXN104886"
"2022-12-09","Marketing","Marketing","South","14214","99199","Card","TXN104887"
"2023-11-25","IT","Salaries","West","100597","152677","Cash","TXN104888"
"2022-01-14","Marketing","Utilities","West","127189","118532","Cash","TXN104889"
"2022-01-22","Finance","Utilities","North","87038","147489","Cash","TXN104890"
"2021-08-25","Finance","Salaries","North","113431","18573","Bank Transfer","TXN104891"
"2022-09-08","IT","Utilities","South","122424","85769","Cash","TXN104892"
"2021-10-10","Marketing","Training","South","137107","35710","Card","TXN104893"
"2021-01-01","Finance","Training","Central","138899","140974","Card","TXN104894"
"2022-04-09","HR","Training","South","20007","118150","Card","TXN104895"
"2023-08-25","Marketing","Training","West","49305","142675","Bank Transfer","TXN104896"
"2021-06-21","Finance","Travel","West","128744","95372","Cash","TXN104897"
"2023-04-23","Sales","Marketing","Central","59349","81972","Card","TXN104898"
"2022-11-21","Sales","Salaries","East","37947","116607","Card","TXN104899"
"2022-07-29","HR","Travel","East","55275","140832","UPI","TXN104900"
"2021-06-14","Finance","Training","West","146035","103497","UPI","TXN104901"
"2022-01-18","Sales","Salaries","East","132656","112609","UPI","TXN104902"
"2021-07-28","Marketing","Marketing","East","57197","35692","Card","TXN104903"
"2021-08-12","Operations","Utilities","Central","106974","130686","Bank Transfer","TXN104904"
"2021-01-03","Finance","Travel","South","72885","153164","Card","TXN104905"
"2022-01-07","HR","Marketing","South","134061","114520","Cash","TXN104906"
"2022-09-03","Finance","Salaries","East","144413","120510","UPI","TXN104907"
"2021-04-26","IT","Infrastructure","North","123457","94315","Cash","TXN104908"
"2022-03-23","IT","Travel","Central","17747","78880","UPI","TXN104909"
"2022-02-19","Sales","Salaries","East","110866","147337","Bank Transfer","TXN104910"
"2023-06-11","IT","Salaries","North","91132","54195","Bank Transfer","TXN104911"
"2023-11-14","HR","Marketing","North","73409","22916","Bank Transfer","TXN104912"
"2022-10-25","Sales","Salaries","Central","93587","151334","Cash","TXN104913"
"2023-12-10","HR","Travel","South","81949","21873","Bank Transfer","TXN104914"
"2022-12-19","Marketing","Training","West","94568","55011","Bank Transfer","TXN104915"
"2023-11-17","HR","Travel","North","81270","12187","UPI","TXN104916"
"2021-09-28","IT","Salaries","West","51596","84522","Cash","TXN104917"
"2022-07-16","Marketing","Marketing","West","40786","107714","Card","TXN104918"
"2023-03-15","IT","Travel","Central","132887","134366","Bank Transfer","TXN104919"
"2021-09-04","HR","Infrastructure","South","93499","44380","Card","TXN104920"
"2022-01-22","IT","Training","Central","33999","31723","Card","TXN104921"
"2022-12-03","IT","Utilities","North","74303","110771","Card","TXN104922"
"2022-07-13","IT","Marketing","South","39501","136497","Card","TXN104923"
"2023-08-31","Finance","Marketing","East","112424","111659","Bank Transfer","TXN104924"
"2023-09-11","Marketing","Utilities","South","45280","21460","Bank Transfer","TXN104925"
"2021-12-18","Marketing","Utilities","Central","39045","105055","Bank Transfer","TXN104926"
"2023-01-23","Marketing","Travel","Central","34432","28379","Cash","TXN104927"
"2023-02-20","HR","Salaries","West","36745","52718","Cash","TXN104928"
"2023-10-22","Operations","Salaries","East","130720","147874","Card","TXN104929"
"2022-06-30","HR","Infrastructure","South","105832","146717","UPI","TXN104930"
"2021-03-20","Marketing","Training","East","118034","140910","Cash","TXN104931"
"2021-11-30","Sales","Salaries","West","124650","80220","Card","TXN104932"
"2023-06-08","IT","Infrastructure","East","69024","165743","Card","TXN104933"
"2022-05-17","IT","Infrastructure","East","146725","70849","Bank Transfer","TXN104934"
"2023-02-04","Operations","Marketing","South","79625","64447","Bank Transfer","TXN104935"
"2023-07-10","Sales","Marketing","East","35194","48382","Cash","TXN104936"
"2022-07-04","Finance","Training","West","132467","95619","Bank Transfer","TXN104937"
"2021-01-14","HR","Travel","North","53748","48953","Cash","TXN104938"
"2022-01-27","Finance","Utilities","North","131778","31536","Bank Transfer","TXN104939"
"2021-11-06","Sales","Utilities","Central","61996","14182","UPI","TXN104940"
"2022-01-21","Operations","Training","North","112605","164804","Bank Transfer","TXN104941"
"2023-09-01","Sales","Infrastructure","South","141070","110723","Cash","TXN104942"
"2021-12-06","Operations","Training","Central","55638","114547","Card","TXN104943"
"2022-08-20","Finance","Utilities","North","90283","113395","Cash","TXN104944"
"2023-01-27","Finance","Infrastructure","North","37980","24284","Bank Transfer","TXN104945"
"2023-11-12","Sales","Utilities","Central","80498","18375","Card","TXN104946"
"2021-10-18","Sales","Travel","South","76393","66771","Bank Transfer","TXN104947"
"2021-11-02","IT","Marketing","Central","75158","56709","Bank Transfer","TXN104948"
"2022-09-26","Operations","Marketing","South","103841","165471","Bank Transfer","TXN104949"
"2022-09-17","IT","Infrastructure","South","127080","159911","Card","TXN104950"
"2023-07-28","HR","Training","West","136948","31788","Bank Transfer","TXN104951"
"2023-04-28","HR","Utilities","North","73636","122755","UPI","TXN104952"
"2022-03-18","Sales","Salaries","North","115075","151078","Cash","TXN104953"
"2022-05-18","Finance","Travel","East","12420","148437","UPI","TXN104954"
"2021-05-10","HR","Utilities","Central","13133","61728","UPI","TXN104955"
"2022-08-20","HR","Salaries","West","70901","14056","Cash","TXN104956"
"2023-05-12","IT","Travel","North","109089","131140","Cash","TXN104957"
"2022-08-16","IT","Travel","East","75370","67657","Card","TXN104958"
"2023-09-26","HR","Marketing","West","50503","156132","UPI","TXN104959"
"2021-11-21","Sales","Infrastructure","South","134309","15223","UPI","TXN104960"
"2023-12-29","IT","Utilities","North","91671","39573","Cash","TXN104961"
"2022-03-24","HR","Travel","Central","60570","112855","Bank Transfer","TXN104962"
"2023-03-30","Finance","Utilities","West","109851","104724","UPI","TXN104963"
"2022-12-10","IT","Travel","East","55231","28323","Card","TXN104964"
"2021-09-22","HR","Training","Central","92278","137785","Bank Transfer","TXN104965"
"2022-09-04","Operations","Marketing","South","57934","96577","UPI","TXN104966"
"2023-04-12","IT","Infrastructure","Central","11562","82920","Bank Transfer","TXN104967"
"2022-11-05","Operations","Salaries","East","28561","51582","UPI","TXN104968"
"2021-06-06","IT","Salaries","South","141335","74201","Bank Transfer","TXN104969"
"2021-09-08","IT","Training","East","132691","169629","UPI","TXN104970"
"2023-05-28","Marketing","Marketing","North","16646","17793","Cash","TXN104971"
"2022-06-14","Marketing","Travel","East","107439","15452","Cash","TXN104972"
"2021-11-23","Operations","Marketing","Central","86684","63749","Card","TXN104973"
"2023-08-19","Sales","Infrastructure","North","124517","66048","UPI","TXN104974"
"2023-06-14","HR","Salaries","North","101673","35943","Card","TXN104975"
"2021-04-07","Sales","Utilities","West","89889","68797","Cash","TXN104976"
"2022-05-28","Sales","Salaries","Central","62292","165014","UPI","TXN104977"
"2021-08-04","Marketing","Infrastructure","Central","35483","35225","Cash","TXN104978"
"2021-05-05","HR","Travel","South","104074","48158","Bank Transfer","TXN104979"
"2021-02-28","Marketing","Marketing","East","81385","129288","Cash","TXN104980"
"2021-06-10","Marketing","Salaries","East","103493","97535","Bank Transfer","TXN104981"
"2021-10-11","Marketing","Salaries","Central","130294","24739","Cash","TXN104982"
"2021-04-16","Finance","Utilities","East","23807","59074","Bank Transfer","TXN104983"
"2021-08-16","Sales","Marketing","Central","85765","143399","Cash","TXN104984"
"2021-11-14","Sales","Utilities","North","56062","11338","Cash","TXN104985"
"2023-03-13","Sales","Utilities","East","35282","139867","UPI","TXN104986"
"2023-05-24","Finance","Travel","East","109006","90109","UPI","TXN104987"
"2022-04-17","IT","Salaries","Central","129529","85871","UPI","TXN104988"
"2023-12-16","Operations","Training","Central","123729","64603","Card","TXN104989"
"2022-09-17","Operations","Marketing","South","24272","87807","Card","TXN104990"
"2021-01-13","Finance","Travel","East","63283","56129","Bank Transfer","TXN104991"
"2023-11-08","Sales","Training","West","63994","83978","Card","TXN104992"
"2022-11-25","Operations","Travel","Central","98080","132559","Card","TXN104993"
"2023-08-31","Finance","Travel","West","89904","135234","Cash","TXN104994"
"2021-04-23","Marketing","Infrastructure","North","146571","112374","Bank Transfer","TXN104995"
"2021-08-17","HR","Infrastructure","North","94475","127081","Card","TXN104996"
"2021-06-20","Operations","Travel","West","21178","121308","UPI","TXN104997"
"2021-10-22","HR","Infrastructure","North","13939","164868","UPI","TXN104998"
"2021-07-08","Sales","Marketing","West","129639","70878","Card","TXN104999"
"2022-03-02","Operations","Salaries","South","128026","169944","Cash","TXN105000"
"2023-09-04","Finance","Training","South","125485","165047","UPI","TXN105001"
"2022-10-20","IT","Marketing","North","106137","83891","UPI","TXN105002"
"2023-07-08","Operations","Salaries","West","91242","158165","Cash","TXN105003"
"2022-05-14","Operations","Infrastructure","West","116938","123240","UPI","TXN105004"
"2023-02-01","Operations","Training","West","109957","168436","Cash","TXN105005"
"2023-05-16","Operations","Marketing","North","67916","34662","Bank Transfer","TXN105006"
"2023-04-06","Finance","Utilities","West","121212","151158","Cash","TXN105007"
"2021-03-12","Finance","Travel","Central","22034","47640","Bank Transfer","TXN105008"
"2021-09-05","IT","Salaries","West","105013","40369","Cash","TXN105009"
"2021-05-26","Finance","Salaries","Central","141887","77694","Card","TXN105010"
"2022-08-05","Finance","Utilities","South","139036","107258","UPI","TXN105011"
"2022-04-15","Sales","Utilities","Central","49735","87968","Bank Transfer","TXN105012"
"2021-07-12","Sales","Travel","South","60362","87259","UPI","TXN105013"
"2023-12-28","HR","Infrastructure","North","62286","117073","Cash","TXN105014"
"2022-05-09","IT","Marketing","South","92474","161021","Cash","TXN105015"
"2021-02-21","Sales","Marketing","South","115212","47636","UPI","TXN105016"
"2023-06-01","IT","Marketing","West","88996","101863","Card","TXN105017"
"2021-12-29","IT","Infrastructure","East","87790","52603","Card","TXN105018"
"2023-07-06","Operations","Travel","South","21957","123796","UPI","TXN105019"
"2022-04-19","Marketing","Marketing","Central","17852","26180","Card","TXN105020"
"2022-06-05","Marketing","Salaries","North","76800","78821","Cash","TXN105021"
"2022-11-22","Marketing","Salaries","Central","33203","26595","UPI","TXN105022"
"2022-06-16","IT","Salaries","North","20364","70693","UPI","TXN105023"
"2023-04-20","Operations","Utilities","Central","72176","108945","UPI","TXN105024"
"2023-12-25","HR","Utilities","South","48304","27612","UPI","TXN105025"
"2021-08-29","HR","Infrastructure","East","35814","72505","Card","TXN105026"
"2022-06-20","Marketing","Marketing","South","26057","144894","Card","TXN105027"
"2021-03-24","HR","Utilities","West","90509","158377","Bank Transfer","TXN105028"
"2023-09-09","Operations","Salaries","Central","28201","119857","Bank Transfer","TXN105029"
"2023-08-09","Marketing","Utilities","East","59724","106013","Bank Transfer","TXN105030"
"2022-09-03","Operations","Salaries","Central","53292","31719","Cash","TXN105031"
"2022-07-28","HR","Marketing","West","134990","65464","Bank Transfer","TXN105032"
"2021-10-13","Marketing","Infrastructure","West","104853","142791","UPI","TXN105033"
"2023-09-16","Operations","Travel","West","59902","93833","Cash","TXN105034"
"2022-04-04","Finance","Travel","South","129144","86462","Card","TXN105035"
"2021-05-06","Finance","Salaries","South","129724","69168","Cash","TXN105036"
"2022-03-01","Operations","Utilities","East","45618","105786","Cash","TXN105037"
"2022-07-08","Operations","Utilities","West","40765","134384","UPI","TXN105038"
"2022-09-02","Sales","Salaries","South","35322","169903","Card","TXN105039"
"2021-04-22","Sales","Marketing","North","90615","56533","Bank Transfer","TXN105040"
"2022-02-06","IT","Salaries","North","34725","104755","Bank Transfer","TXN105041"
"2021-05-02","Marketing","Marketing","South","83519","96738","Bank Transfer","TXN105042"
"2021-09-30","IT","Infrastructure","East","131837","149187","Card","TXN105043"
"2022-02-02","IT","Infrastructure","Central","32137","29522","Cash","TXN105044"
"2022-04-16","HR","Salaries","West","22057","17968","UPI","TXN105045"
"2023-09-12","Finance","Infrastructure","South","31281","61808","Card","TXN105046"
"2022-07-23","HR","Utilities","East","121473","126265","UPI","TXN105047"
"2023-06-16","Marketing","Marketing","Central","115273","30681","Card","TXN105048"
"2023-03-31","Operations","Travel","East","147606","27251","Card","TXN105049"
"2023-05-03","Sales","Travel","Central","69672","44317","Card","TXN105050"
"2022-12-11","Marketing","Infrastructure","North","116424","63679","Cash","TXN105051"
"2021-11-17","Operations","Marketing","Central","118171","164262","UPI","TXN105052"
"2021-06-28","Marketing","Utilities","North","124670","75290","Bank Transfer","TXN105053"
"2023-06-16","Operations","Travel","West","135466","130383","UPI","TXN105054"
"2021-08-07","Sales","Utilities","South","36965","147310","Bank Transfer","TXN105055"
"2023-02-28","Operations","Utilities","North","46469","147087","UPI","TXN105056"
"2022-05-07","IT","Travel","East","93280","80033","Card","TXN105057"
"2021-03-02","Marketing","Travel","Central","119642","163863","Cash","TXN105058"
"2023-12-14","Sales","Infrastructure","East","73580","60091","Card","TXN105059"
"2022-06-22","Operations","Marketing","North","13067","21734","Cash","TXN105060"
"2023-04-28","IT","Salaries","East","102274","62917","Card","TXN105061"
"2023-09-15","IT","Marketing","Central","44212","60028","Bank Transfer","TXN105062"
"2021-03-06","Finance","Salaries","South","15179","33812","Bank Transfer","TXN105063"
"2022-08-09","IT","Travel","East","33165","39882","Card","TXN105064"
"2021-06-20","HR","Utilities","West","146991","41775","UPI","TXN105065"
"2022-06-19","Sales","Marketing","Central","65012","143901","Bank Transfer","TXN105066"
"2022-11-24","Sales","Utilities","Central","91092","34714","Card","TXN105067"
"2021-04-18","Sales","Marketing","West","88272","102522","Cash","TXN105068"
"2023-03-25","Operations","Training","North","89532","24362","Cash","TXN105069"
"2023-10-02","Marketing","Marketing","West","100686","42054","Cash","TXN105070"
"2022-03-28","Operations","Utilities","North","139333","98479","Cash","TXN105071"
"2022-08-13","HR","Training","South","32298","135804","UPI","TXN105072"
"2023-11-06","Marketing","Infrastructure","North","23746","12920","UPI","TXN105073"
"2021-11-23","IT","Travel","South","31999","153964","UPI","TXN105074"
"2022-08-31","Operations","Infrastructure","South","111136","109420","Card","TXN105075"
"2022-10-21","Marketing","Infrastructure","West","40361","156750","Bank Transfer","TXN105076"
"2021-01-02","IT","Marketing","South","121125","96310","Cash","TXN105077"
"2023-10-31","Marketing","Travel","North","149560","20323","Bank Transfer","TXN105078"
"2022-03-10","IT","Training","East","48381","69741","Card","TXN105079"
"2021-05-05","Marketing","Marketing","Central","16777","11834","Bank Transfer","TXN105080"
"2022-04-30","Operations","Salaries","Central","23142","141501","Bank Transfer","TXN105081"
"2022-10-14","Operations","Marketing","North","101396","87725","Bank Transfer","TXN105082"
"2023-03-11","HR","Training","East","133754","66036","UPI","TXN105083"
